Start date;End date;Total (grid load) [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions
Nov 12, 2015;Nov 13, 2015;1,509,683.50;1,174,520.50;21,907.75
Nov 13, 2015;Nov 14, 2015;1,510,891.75;1,022,005.50;22,434.50
Nov 14, 2015;Nov 15, 2015;1,301,251.25;674,661.00;21,677.25
Nov 15, 2015;Nov 16, 2015;1,208,250.25;655,904.50;25,947.50
Nov 16, 2015;Nov 17, 2015;1,494,604.25;1,013,274.50;21,007.00
Nov 17, 2015;Nov 18, 2015;1,540,540.25;1,046,537.50;19,612.75
Nov 18, 2015;Nov 19, 2015;1,537,272.50;804,475.00;26,664.75
Nov 19, 2015;Nov 20, 2015;1,561,215.00;865,901.00;23,632.25
Nov 20, 2015;Nov 21, 2015;1,522,261.00;1,195,095.75;21,056.50
Nov 21, 2015;Nov 22, 2015;1,314,882.25;1,090,205.00;27,413.75
Nov 22, 2015;Nov 23, 2015;1,231,515.75;914,377.25;26,772.00
Nov 23, 2015;Nov 24, 2015;1,543,575.50;1,362,203.75;19,341.75
Nov 24, 2015;Nov 25, 2015;1,613,177.50;1,172,225.00;24,490.50
